"offense","offense_conference","defense","defense_conference","game_id","id","scoring","start_period","start_yardline","start_yards_to_goal","start_time.minutes","start_time.seconds","end_period","end_yardline","end_yards_to_goal","end_time.minutes","end_time.seconds","elapsed.minutes","elapsed.seconds","plays","yards","drive_result","week"
"Alabama","SEC","Duke","ACC",401110720,"4011107201",FALSE,1,22,78,15,0,1,19,81,12,57,2,3,3,-3,"PUNT",1
"Duke","ACC","Alabama","SEC",401110720,"4011107202",FALSE,1,55,55,12,57,1,52,52,11,49,1,8,3,3,"PUNT",1
"Alabama","SEC","Duke","ACC",401110720,"4011107203",FALSE,1,17,83,11,49,1,23,77,11,24,NA,25,2,9,"FUMBLE",1
"Duke","ACC","Alabama","SEC",401110720,"4011107204",FALSE,1,26,26,11,24,1,7,7,8,28,2,56,7,19,"DOWNS",1
"Alabama","SEC","Duke","ACC",401110720,"4011107205",FALSE,1,7,93,8,28,1,69,31,3,25,5,3,12,62,"MISSED FG",1
"Duke","ACC","Alabama","SEC",401110720,"4011107206",FALSE,1,68,68,3,25,1,48,48,0,51,2,34,5,20,"PUNT",1
"Alabama","SEC","Duke","ACC",401110720,"4011107207",TRUE,1,20,80,0,51,2,100,0,10,2,5,49,12,80,"TD",1
"Duke","ACC","Alabama","SEC",401110720,"4011107208",FALSE,2,75,75,10,2,2,81,81,8,24,1,38,3,-6,"PUNT",1
"Alabama","SEC","Duke","ACC",401110720,"4011107209",TRUE,2,24,76,8,24,2,100,0,5,13,3,11,7,76,"TD",1
"Portland State",NA,"Arkansas","SEC",401110721,"4011107211",TRUE,1,75,75,15,0,1,33,33,13,9,1,51,6,42,"FG",1
"Arkansas","SEC","Portland State",NA,401110721,"4011107212",TRUE,1,30,70,13,9,1,84,16,9,40,3,29,9,54,"FG",1
"Portland State",NA,"Arkansas","SEC",401110721,"4011107213",FALSE,1,75,75,9,40,1,77,77,7,31,2,9,3,-2,"PUNT",1
"Arkansas","SEC","Portland State",NA,401110721,"4011107214",TRUE,1,36,64,7,31,1,100,0,3,16,4,15,10,64,"TD",1
"Portland State",NA,"Arkansas","SEC",401110721,"4011107215",TRUE,1,75,75,3,16,2,30,30,14,7,4,9,11,45,"FG",1
"Arkansas","SEC","Portland State",NA,401110721,"4011107216",FALSE,2,27,73,14,7,2,29,71,12,29,1,38,3,2,"PUNT",1
"Portland State",NA,"Arkansas","SEC",401110721,"4011107217",FALSE,2,65,65,12,29,2,41,41,9,10,3,19,6,24,"PUNT",1
"Arkansas","SEC","Portland State",NA,401110721,"4011107218",FALSE,2,20,80,9,10,2,60,40,3,37,5,33,10,40,"PUNT",1
"Portland State",NA,"Arkansas","SEC",401110721,"4011107219",FALSE,2,80,80,3,37,2,82,82,2,46,NA,51,3,-2,"INT",1
"Oregon","Pac-12","Auburn","SEC",401110722,"4011107221",TRUE,1,74,74,15,0,1,0,0,10,13,4,47,11,74,"TD",1
"Auburn","SEC","Oregon","Pac-12",401110722,"4011107222",FALSE,1,25,75,10,13,1,27,73,8,34,1,39,3,2,"PUNT",1
"Oregon","Pac-12","Auburn","SEC",401110722,"4011107223",FALSE,1,44,44,8,34,1,2,2,4,42,3,52,10,42,"MISSED FG",1
